"filename", "language", "JavaScript", "Vue", "SCSS", "YAML", "XML", "CSS", "Markdown", "JSON", "Handlebars", "HTML", "JSON with Comments", "Docker", "comment", "blank", "total"
"e:\weichang\iot-web\.eslintrc.js", "JavaScript", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 199
"e:\weichang\iot-web\.github\FUNDING.yml", "YAML", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"e:\weichang\iot-web\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 13, 9, 34
"e:\weichang\iot-web\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\weichang\iot-web\.github\ISSUE_TEMPLATE\question.md", "Markdown", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 15, 9, 36
"e:\weichang\iot-web\.gitlab-ci.yml", "YAML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 45
"e:\weichang\iot-web\.travis.yml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\weichang\iot-web\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"e:\weichang\iot-web\README.es.md", "Markdown", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 66, 228
"e:\weichang\iot-web\README.ja.md", "Markdown", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 65, 224
"e:\weichang\iot-web\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\README.zh-CN.md", "Markdown", 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 74, 252
"e:\weichang\iot-web\babel.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 15
"e:\weichang\iot-web\build\index.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"e:\weichang\iot-web\jest.config.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
"e:\weichang\iot-web\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"e:\weichang\iot-web\mock\article.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 129
"e:\weichang\iot-web\mock\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 61
"e:\weichang\iot-web\mock\mock-server.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 82
"e:\weichang\iot-web\mock\remote-search.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 56
"e:\weichang\iot-web\mock\role\index.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 102
"e:\weichang\iot-web\mock\role\routes.js", "JavaScript", 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 531
"e:\weichang\iot-web\mock\user.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 86
"e:\weichang\iot-web\mock\utils.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 49
"e:\weichang\iot-web\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 1, 103
"e:\weichang\iot-web\plop-templates\component\index.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"e:\weichang\iot-web\plop-templates\component\prompt.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"e:\weichang\iot-web\plop-templates\store\index.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"e:\weichang\iot-web\plop-templates\store\prompt.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63
"e:\weichang\iot-web\plop-templates\utils.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\weichang\iot-web\plop-templates\view\index.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"e:\weichang\iot-web\plop-templates\view\prompt.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"e:\weichang\iot-web\plopfile.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\weichang\iot-web\postcss.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\weichang\iot-web\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
"e:\weichang\iot-web\src\App.vue", "Vue", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"e:\weichang\iot-web\src\api\basics\bas-dict-api.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 75
"e:\weichang\iot-web\src\api\deviceData.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 129
"e:\weichang\iot-web\src\api\dict.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\weichang\iot-web\src\api\platform.js", "JavaScript", 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 318
"e:\weichang\iot-web\src\api\qiniu.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\weichang\iot-web\src\api\remote-search.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\weichang\iot-web\src\api\system\download-api.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 21
"e:\weichang\iot-web\src\api\system\sys-auth-book-log-api.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 21
"e:\weichang\iot-web\src\api\system\sys-cost-api.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"e:\weichang\iot-web\src\api\system\sys-department-api.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 10, 84
"e:\weichang\iot-web\src\api\system\sys-order-operation-log-api.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 23
"e:\weichang\iot-web\src\api\system\sys-permission-api.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 12, 95
"e:\weichang\iot-web\src\api\system\sys-role-api.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 13, 99
"e:\weichang\iot-web\src\api\system\sys-user-api.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 14, 134
"e:\weichang\iot-web\src\api\system\upload-api.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 36
"e:\weichang\iot-web\src\api\user.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"e:\weichang\iot-web\src\assets\custom-theme\index.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\components\BackToTop\index.vue", "Vue", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 112
"e:\weichang\iot-web\src\components\Breadcrumb\index.vue", "Vue", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 87
"e:\weichang\iot-web\src\components\Charts\Keyboard.vue", "Vue", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 156
