Date : 2024-08-20 18:21:11
Directory : e:\weichang\iot-web
Total : 307 files,  26540 codes, 1545 comments, 2071 blanks, all 30156 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |        115 |     18,633 |        739 |      1,029 |     20,401 |
| JavaScript         |        108 |      5,831 |        707 |        639 |      7,177 |
| SCSS               |         10 |      1,229 |         55 |        148 |      1,432 |
| Markdown           |          7 |        529 |         28 |        226 |        783 |
| JSON               |          1 |        102 |          0 |          1 |        103 |
| Handlebars         |          3 |         59 |          0 |         12 |         71 |
| XML                |         54 |         54 |          0 |          0 |         54 |
| YAML               |          4 |         50 |         15 |         14 |         79 |
| CSS                |          2 |         26 |          0 |          1 |         27 |
| HTML               |          1 |         14 |          1 |          1 |         16 |
| JSON with Comments |          1 |          9 |          0 |          0 |          9 |
| Docker             |          1 |          4 |          0 |          0 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |        307 |     26,540 |      1,545 |      2,071 |     30,156 |
| . (Files)                                                                             |         15 |        988 |         41 |        228 |      1,257 |
| .github                                                                               |          4 |         31 |         29 |         23 |         83 |
| .github (Files)                                                                       |          1 |          2 |          1 |          2 |          5 |
| .github\ISSUE_TEMPLATE                                                                |          3 |         29 |         28 |         21 |         78 |
| build                                                                                 |          1 |         28 |          0 |          8 |         36 |
| mock                                                                                  |          8 |        985 |         36 |         75 |      1,096 |
| mock (Files)                                                                          |          6 |        384 |         30 |         49 |        463 |
| mock\role                                                                             |          2 |        601 |          6 |         26 |        633 |
| plop-templates                                                                        |          7 |        227 |          0 |         22 |        249 |
| plop-templates (Files)                                                                |          1 |          2 |          0 |          1 |          3 |
| plop-templates\component                                                              |          2 |         76 |          0 |          7 |         83 |
| plop-templates\store                                                                  |          2 |         73 |          0 |          7 |         80 |
| plop-templates\view                                                                   |          2 |         76 |          0 |          7 |         83 |
| public                                                                                |          1 |         14 |          1 |          1 |         16 |
| src                                                                                   |        264 |     24,113 |      1,438 |      1,701 |     27,252 |
| src (Files)                                                                           |          4 |        106 |         53 |         36 |        195 |
| src\api                                                                               |         16 |        816 |        190 |        160 |      1,166 |
| src\api (Files)                                                                       |          6 |        458 |          0 |         73 |        531 |
| src\api\basics                                                                        |          1 |         55 |         15 |          5 |         75 |
| src\api\system                                                                        |          9 |        303 |        175 |         82 |        560 |
| src\assets                                                                            |          1 |          1 |          0 |          0 |          1 |
| src\assets\custom-theme                                                               |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                        |         44 |      6,343 |        210 |        277 |      6,830 |
| src\components\BackToTop                                                              |          1 |        105 |          0 |          7 |        112 |
| src\components\Breadcrumb                                                             |          1 |         77 |          3 |          7 |         87 |
| src\components\Charts                                                                 |          4 |        687 |          4 |         22 |        713 |
| src\components\Charts (Files)                                                         |          3 |        639 |          0 |         17 |        656 |
| src\components\Charts\mixins                                                          |          1 |         48 |          4 |          5 |         57 |
| src\components\DatePickerRange                                                        |          1 |        130 |          0 |          6 |        136 |
| src\components\DndList                                                                |          1 |        155 |          2 |         10 |        167 |
| src\components\DragSelect                                                             |          1 |         59 |          2 |          5 |         66 |
| src\components\Dropzone                                                               |          1 |        265 |         11 |         22 |        298 |
| src\components\ErrorLog                                                               |          1 |         75 |          0 |          4 |         79 |
| src\components\GithubCorner                                                           |          1 |         51 |          0 |          4 |         55 |
| src\components\Hamburger                                                              |          1 |         41 |          0 |          4 |         45 |
| src\components\ImageCropper                                                           |          5 |      1,968 |         99 |         14 |      2,081 |
| src\components\ImageCropper (Files)                                                   |          1 |      1,688 |         84 |          8 |      1,780 |
| src\components\ImageCropper\utils                                                     |          4 |        280 |         15 |          6 |        301 |
| src\components\JsonEditor                                                             |          1 |         69 |          1 |          8 |         78 |
| src\components\Kanban                                                                 |          1 |         91 |          2 |          7 |        100 |
| src\components\LangSelect                                                             |          1 |         40 |          0 |          2 |         42 |
| src\components\MDinput                                                                |          1 |        341 |         13 |          7 |        361 |
| src\components\MarkdownEditor                                                         |          2 |        144 |          2 |          5 |        151 |
| src\components\Pagination                                                             |          1 |         98 |          0 |          4 |        102 |
| src\components\PanThumb                                                               |          1 |        117 |         13 |         13 |        143 |
| src\components\RightPanel                                                             |          1 |        136 |          0 |         10 |        146 |
| src\components\Screenfull                                                             |          1 |         57 |          0 |          4 |         61 |
| src\components\Share                                                                  |          1 |        101 |          0 |          3 |        104 |
| src\components\SizeSelect                                                             |          1 |         52 |          1 |          5 |         58 |
| src\components\Sticky                                                                 |          1 |         90 |          0 |          2 |         92 |
| src\components\SvgIcon                                                                |          1 |         57 |          1 |          5 |         63 |
| src\components\TextHoverEffect                                                        |          1 |        100 |          1 |         13 |        114 |
| src\components\ThemePicker                                                            |          1 |        150 |          0 |         26 |        176 |
| src\components\Tinymce                                                                |          5 |        361 |         53 |         29 |        443 |
| src\components\Tinymce (Files)                                                        |          4 |        254 |         52 |         25 |        331 |
| src\components\Tinymce\components                                                     |          1 |        107 |          1 |          4 |        112 |
| src\components\TreeSelect                                                             |          1 |        184 |          0 |         10 |        194 |
| src\components\Upload                                                                 |          3 |        411 |          0 |         13 |        424 |
| src\components\UploadExcel                                                            |          1 |        131 |          2 |          6 |        139 |
| src\directive                                                                         |         12 |        370 |         21 |         72 |        463 |
| src\directive (Files)                                                                 |          1 |         72 |          6 |         14 |         92 |
| src\directive\clipboard                                                               |          2 |         57 |          1 |          6 |         64 |
| src\directive\el-drag-dialog                                                          |          2 |         66 |          7 |         19 |         92 |
| src\directive\el-table                                                                |          2 |         37 |          7 |         12 |         56 |
| src\directive\permission                                                              |          2 |         36 |          0 |         10 |         46 |
| src\directive\waves                                                                   |          3 |        102 |          0 |         11 |        113 |
| src\filters                                                                           |          1 |         39 |         24 |          6 |         69 |
| src\icons                                                                             |         56 |         65 |         14 |          8 |         87 |
| src\icons (Files)                                                                     |          2 |         11 |         14 |          8 |         33 |
| src\icons\svg                                                                         |         54 |         54 |          0 |          0 |         54 |
| src\lang                                                                              |          5 |        747 |          4 |          9 |        760 |
| src\layout                                                                            |         14 |      1,140 |         34 |        105 |      1,279 |
| src\layout (Files)                                                                    |          1 |         93 |          0 |         10 |        103 |
| src\layout\components                                                                 |         12 |      1,007 |         32 |         91 |      1,130 |
| src\layout\components (Files)                                                         |          3 |        202 |         13 |         32 |        247 |
| src\layout\components\Settings                                                        |          1 |        129 |          0 |         14 |        143 |
| src\layout\components\Sidebar                                                         |          6 |        313 |          9 |         28 |        350 |
| src\layout\components\TagsView                                                        |          2 |        363 |         10 |         17 |        390 |
| src\layout\mixin                                                                      |          1 |         40 |          2 |          4 |         46 |
| src\router                                                                            |          6 |        393 |         43 |         31 |        467 |
